iter	Logloss
0	0.6924533061
1	0.6918553476
2	0.6912973156
3	0.6908324787
4	0.6903216524
5	0.6895198492
6	0.6884484538
7	0.6878285333
8	0.6872550953
9	0.6868969942
10	0.6862489738
11	0.6854191096
12	0.6848313863
13	0.684524291
14	0.6836927163
15	0.6833549843
16	0.68266532
17	0.6820700486
18	0.6815270709
19	0.6811932831
20	0.6805560746
21	0.6801852939
22	0.6792467279
23	0.6787453172
24	0.6780322629
25	0.6776133891
26	0.6771900682
27	0.6764271446
28	0.6761644475
29	0.6753951597
30	0.6750340771
31	0.6745004507
32	0.6742894733
33	0.6739135347
34	0.6734303084
35	0.6732273232
36	0.6728018282
37	0.6722677279
38	0.6719209914
39	0.6713609455
40	0.6708391034
41	0.6702465166
42	0.6696283741
43	0.6690860102
44	0.6687938977
45	0.6684539976
46	0.6678151784
47	0.6674373069
48	0.6670941252
49	0.6668793948
50	0.6665272745
51	0.6662250536
52	0.6657814849
53	0.6656126462
54	0.665237625
55	0.6648402013
56	0.6644967131
57	0.6642081514
58	0.6636640499
59	0.6629212001
60	0.6624092748
61	0.6617838334
62	0.6614563714
63	0.661012408
64	0.6607640585
65	0.6604309887
66	0.6600588819
67	0.6595622688
68	0.6592322331
69	0.6590722041
70	0.6587872896
71	0.6581977294
72	0.6579796128
73	0.6576258877
74	0.6574211169
75	0.6569887108
76	0.6566148764
77	0.6563359238
78	0.6561549717
79	0.6556455619
80	0.6551997889
81	0.6544739011
82	0.6542252665
83	0.6536414722
84	0.6533438157
85	0.6529241985
86	0.6526490543
87	0.6523615902
88	0.6518820384
89	0.6516048813
90	0.6509763906
91	0.6503969225
92	0.6500029006
93	0.6497952647
94	0.6495005798
95	0.6490925445
96	0.6486094309
97	0.6483142275
98	0.6480699991
99	0.6478282197
100	0.6474057421
101	0.6471006975
102	0.6466787726
103	0.6464032689
104	0.6460938732
105	0.6456199285
106	0.6454695822
107	0.6451638167
108	0.6449033126
109	0.6446561194
110	0.6442982835
111	0.6439102476
112	0.6433050032
113	0.642846514
114	0.6424874284
115	0.641855757
116	0.6414112905
117	0.6411169467
118	0.6407048518
119	0.6404835971
120	0.6400751801
121	0.6397387959
122	0.6391413877
123	0.6388042607
124	0.6385279298
125	0.6381321183
126	0.6379336046
127	0.637633929
128	0.6372879954
129	0.6370054594
130	0.636716148
131	0.6364822358
132	0.6361697845
133	0.6357317935
134	0.6354945641
135	0.6352694758
136	0.6350581603
137	0.6346809545
138	0.6342718708
139	0.6338869136
140	0.6335440433
141	0.6332933975
142	0.6330045188
143	0.6328136057
144	0.6325839455
145	0.6322965088
146	0.632100171
147	0.6319113467
148	0.6317266525
149	0.631421448
150	0.6312182087
151	0.6307287665
152	0.6305543961
153	0.6302933144
154	0.6300015227
155	0.6294870284
156	0.6292010439
157	0.6288707637
158	0.6284974471
159	0.6282575213
160	0.6279957585
161	0.6278861846
162	0.6276222159
163	0.6273266669
164	0.6269646061
165	0.6267543824
166	0.626483142
167	0.6261493262
168	0.6258648169
169	0.6256911276
170	0.6255455624
171	0.6253611075
172	0.624934717
173	0.6246648783
174	0.6244803522
175	0.624240222
176	0.6238279303
177	0.6236658397
178	0.6234565285
179	0.6230285014
180	0.6226844158
181	0.6223862402
182	0.6222103573
183	0.6220395472
184	0.6216921656
185	0.6215205011
186	0.6213139445
187	0.6211742052
188	0.6209834139
189	0.6207053615
190	0.6204431712
191	0.6202241977
192	0.6199171828
193	0.6196723452
194	0.619297499
195	0.6190995758
196	0.6187520137
197	0.6185915192
198	0.618428594
199	0.6180113967
200	0.6176257987
201	0.6174325546
202	0.6170683725
203	0.616901154
204	0.6164673474
205	0.6162820575
206	0.6160006274
207	0.6155670214
208	0.6154521677
209	0.615138508
210	0.6149179554
211	0.6146828126
212	0.6144172193
213	0.6141320516
214	0.6139155985
215	0.6137378388
216	0.6135126585
217	0.6132039722
218	0.6129044764
219	0.6125855147
220	0.6123504642
221	0.6121121882
222	0.6118985677
223	0.611668618
224	0.6113302843
225	0.6111027624
226	0.6107656656
227	0.6104648448
228	0.6100472536
229	0.6099336681
230	0.6097137603
231	0.609552063
232	0.6093073304
233	0.6091379554
234	0.6089754347
235	0.6087485396
236	0.6084920433
237	0.6082100174
238	0.6080716427
239	0.607936731
240	0.6077428184
241	0.6076056413
242	0.6074865487
243	0.6072360963
244	0.6070244437
245	0.6068513115
246	0.606544974
247	0.6062923312
248	0.6059563668
249	0.6058549977
250	0.6053341667
251	0.6052085062
252	0.605023085
253	0.6049091111
254	0.604671957
255	0.6043573407
256	0.6041226052
257	0.603925787
258	0.6037955354
259	0.6036963032
260	0.6035328357
261	0.6031422769
262	0.6028465484
263	0.6027091207
264	0.6025451199
265	0.6022641866
266	0.6020409502
267	0.6018393794
268	0.6016155806
269	0.601307848
270	0.6009917021
271	0.6007905416
272	0.6005974627
273	0.6001789647
274	0.600012926
275	0.5998854887
276	0.5996216517
277	0.5993515687
278	0.5991360589
279	0.5989236204
280	0.5986779564
281	0.5985875787
282	0.5982094281
283	0.598036532
284	0.5979007634
285	0.5976647824
286	0.5974077917
287	0.5972708506
288	0.5970038216
289	0.5968799495
290	0.5966592329
291	0.5963546309
292	0.5962103104
293	0.596105571
294	0.595831905
295	0.5956638585
296	0.5954728761
297	0.5952432425
298	0.5949902432
299	0.5947674388
300	0.5943304823
301	0.5940533848
302	0.5938852943
303	0.593719923
304	0.5935470836
305	0.5933444655
306	0.5931783801
307	0.5929941861
308	0.5928390839
309	0.5926507959
310	0.5923392863
311	0.592137116
312	0.5918582688
313	0.5915771887
314	0.5914013264
315	0.5911849405
316	0.5909086469
317	0.5906241244
318	0.5903330948
319	0.5900908978
320	0.5898018927
321	0.5895319001
322	0.5892573778
323	0.5889353267
324	0.5886384519
325	0.5882165897
326	0.5880976099
327	0.5879539941
328	0.5876446381
329	0.5874686248
330	0.5870667877
331	0.5868684667
332	0.5867280198
333	0.5864041644
334	0.5861003433
335	0.5858993568
336	0.5855306275
337	0.5853628245
338	0.5851963425
339	0.5849430139
340	0.584647999
341	0.5844469429
342	0.5841512828
343	0.5838844447
344	0.5837446161
345	0.5835528421
346	0.5834510871
347	0.5832908843
348	0.5830964527
349	0.5829823757
350	0.5828681211
351	0.582652827
352	0.5824772908
353	0.5823642837
354	0.5821144715
355	0.5818605909
356	0.5816326375
357	0.5814145187
358	0.581194055
359	0.5810106495
360	0.5807901253
361	0.5805967295
362	0.5803684811
363	0.5800967001
364	0.5799315906
365	0.5795854445
366	0.5794364444
367	0.5791354789
368	0.5788305193
369	0.578554538
370	0.5783837698
371	0.5781700973
372	0.5780717144
373	0.5778946635
374	0.5776823933
375	0.5774115802
376	0.5770957626
377	0.5769224458
378	0.5767073256
379	0.5764696437
380	0.5761370402
381	0.5758178962
382	0.5757045121
383	0.575564255
384	0.5752225661
385	0.5749704552
386	0.5746710567
387	0.5745446359
388	0.5742267693
389	0.5739445858
390	0.5737916648
391	0.5735302461
392	0.5733735916
393	0.5732160023
394	0.5728950429
395	0.5725210485
396	0.5723709945
397	0.5721811868
398	0.5718813936
399	0.5716614396
400	0.5714655219
401	0.5711533923
402	0.5708062429
403	0.5706199403
404	0.5705192332
405	0.5702799358
406	0.5699545749
407	0.5698082419
408	0.5695522366
409	0.5693622795
410	0.5689737314
411	0.5688875447
412	0.5684512826
413	0.5679422656
414	0.5677010543
415	0.56757304
416	0.5674119783
417	0.5671772019
418	0.5670212208
419	0.5667802346
420	0.5666236395
421	0.5664538162
422	0.5662594103
423	0.5660254495
424	0.565758809
425	0.5655417015
426	0.5654183791
427	0.5652365879
428	0.5649175233
429	0.5646408161
430	0.5645528057
431	0.564440553
432	0.5642349637
433	0.5639349054
434	0.5637972797
435	0.5635680731
436	0.5633041877
437	0.5630928208
438	0.5628239907
439	0.5625484326
440	0.5624394144
441	0.5621478514
442	0.561939682
443	0.5616896993
444	0.5614474361
445	0.5612618412
446	0.5610096412
447	0.560808402
448	0.560579535
449	0.5602154416
450	0.5599688161
451	0.5595362471
452	0.5592389289
453	0.5589251524
454	0.5586018014
455	0.5583814873
456	0.5581011447
457	0.5578069672
458	0.5575657232
459	0.5573231651
460	0.5571201378
461	0.5569347654
462	0.5567365524
463	0.5565120874
464	0.5561504153
465	0.5558915412
466	0.5555254936
467	0.5553109119
468	0.5550785398
469	0.5548548867
470	0.5546703874
471	0.5543182409
472	0.5540850557
473	0.5537344125
474	0.5536293586
475	0.5532433845
476	0.5529938764
477	0.5526209
478	0.5523516511
479	0.5521783385
480	0.5519746922
481	0.5517625705
482	0.5513786215
483	0.5510028137
484	0.5507479585
485	0.5505226723
486	0.5502597138
487	0.5499943599
488	0.5495046651
489	0.5491545727
490	0.5489235561
491	0.5487161582
492	0.5484161515
493	0.5482007883
494	0.5480331038
495	0.5477615609
496	0.5474829989
497	0.5472811635
498	0.5470254653
499	0.5468038647
