iter	Passed	Remaining
0	4	2356
1	9	2322
2	14	2376
3	18	2344
4	23	2327
5	28	2322
6	32	2298
7	37	2279
8	41	2280
9	46	2268
10	50	2254
11	55	2244
12	59	2246
13	64	2247
14	69	2250
15	74	2247
16	78	2237
17	83	2240
18	88	2242
19	93	2240
20	97	2230
21	102	2221
22	106	2214
23	111	2210
24	116	2206
25	120	2202
26	125	2200
27	130	2199
28	134	2189
29	140	2198
30	144	2193
31	149	2188
32	154	2181
33	158	2175
34	163	2169
35	168	2166
36	173	2175
37	178	2168
38	182	2160
39	187	2153
40	192	2149
41	196	2144
42	201	2138
43	206	2136
44	210	2133
45	215	2128
46	220	2126
47	224	2118
48	229	2109
49	234	2110
50	238	2103
51	243	2097
52	247	2088
53	252	2081
54	256	2075
55	260	2066
56	265	2066
57	269	2057
58	274	2051
59	278	2045
60	283	2037
61	287	2030
62	291	2020
63	295	2013
64	300	2007
65	304	2001
66	308	1995
67	314	1995
68	318	1990
69	323	1986
70	327	1979
71	332	1976
72	336	1970
73	341	1964
74	345	1958
75	350	1955
76	354	1949
77	359	1945
78	364	1940
79	368	1933
80	372	1927
81	378	1928
82	382	1922
83	387	1916
84	391	1910
85	395	1905
86	400	1900
87	404	1895
88	409	1892
89	414	1887
90	418	1882
91	423	1876
92	427	1871
93	432	1866
94	436	1861
95	441	1859
96	446	1855
97	450	1849
98	456	1847
99	460	1843
100	465	1839
101	469	1833
102	474	1829
103	479	1824
104	483	1818
105	487	1812
106	492	1807
107	496	1801
108	500	1795
109	504	1789
110	509	1786
111	513	1779
112	518	1774
113	523	1771
114	527	1765
115	531	1760
116	536	1755
117	540	1750
118	544	1744
119	549	1739
120	554	1735
121	558	1730
122	562	1725
123	567	1721
124	571	1715
125	576	1710
126	580	1705
127	585	1700
128	589	1695
129	594	1690
130	598	1685
131	602	1680
132	606	1674
133	611	1668
134	615	1664
135	619	1658
136	624	1653
137	628	1649
138	632	1643
139	637	1638
140	641	1633
141	645	1628
142	650	1623
143	654	1618
144	659	1613
145	663	1608
146	667	1603
147	671	1597
148	676	1593
149	680	1588
150	684	1583
151	689	1577
152	693	1572
153	697	1567
154	701	1561
155	705	1556
156	710	1551
157	714	1546
158	718	1541
159	722	1535
160	726	1530
161	730	1524
162	735	1519
163	738	1513
164	742	1508
165	747	1503
166	750	1497
167	755	1492
168	758	1486
169	763	1481
170	767	1476
171	772	1472
172	776	1467
173	780	1463
174	785	1458
175	789	1453
176	794	1449
177	799	1445
178	803	1440
179	808	1436
180	812	1431
181	816	1426
182	821	1422
183	825	1417
184	829	1412
185	833	1407
186	838	1402
187	842	1398
188	846	1393
189	851	1388
190	855	1384
191	860	1380
192	864	1375
193	869	1370
194	873	1365
195	877	1360
196	881	1356
197	886	1351
198	890	1347
199	895	1343
200	900	1339
201	904	1334
202	909	1330
203	913	1325
204	917	1320
205	922	1316
206	926	1311
207	930	1306
208	934	1300
209	938	1295
210	942	1290
211	946	1285
212	950	1280
213	954	1275
214	958	1270
215	962	1265
216	966	1260
217	970	1255
218	975	1251
219	979	1246
220	983	1241
221	988	1237
222	992	1232
223	996	1227
224	1000	1223
225	1005	1218
226	1009	1214
227	1014	1209
228	1018	1205
229	1022	1200
230	1027	1196
231	1031	1191
232	1036	1188
233	1041	1183
234	1045	1178
235	1049	1174
236	1053	1169
237	1057	1164
238	1062	1159
239	1066	1155
240	1070	1150
241	1074	1145
242	1079	1141
243	1083	1136
244	1087	1131
245	1091	1126
246	1095	1122
247	1100	1117
248	1104	1113
249	1108	1108
250	1112	1103
251	1116	1099
252	1120	1094
253	1125	1089
254	1129	1085
255	1133	1080
256	1137	1075
257	1142	1071
258	1147	1067
259	1151	1062
260	1155	1057
261	1159	1053
262	1163	1048
263	1167	1043
264	1171	1038
265	1175	1034
266	1179	1029
267	1184	1025
268	1188	1020
269	1192	1015
270	1197	1011
271	1201	1007
272	1205	1002
273	1209	997
274	1213	993
275	1217	988
276	1221	983
277	1225	978
278	1229	973
279	1233	968
280	1236	963
281	1240	959
282	1244	954
283	1248	949
284	1252	945
285	1256	940
286	1261	936
287	1265	931
288	1269	926
